ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
22213,HY175983,03/22/2015 12:00:00 AM,003XX S ALBANY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,1124,011,28,27,01A,,,2015,12/10/2015 03:54:20 PM,,,
21792,HY193536,03/22/2015 09:53:00 AM,109XX S GREEN BAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0432,004,10,52,01A,1200541,1833111,2015,08/17/2015 03:03:40 PM,41.696830001,-87.541349099,"(41.696830001, -87.541349099)"
21793,HY194555,03/22/2015 09:33:00 PM,022XX W WINNEMAC AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,2031,020,47,4,01A,1160556,1933458,2015,08/17/2015 03:03:40 PM,41.973109096,-87.684977358,"(41.973109096, -87.684977358)"
21794,HY196184,03/24/2015 06:55:00 AM,028XX W WARREN BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1222,012,2,27,01A,1157356,1900224,2015,08/17/2015 03:03:40 PM,41.881978408,-87.697650504,"(41.881978408, -87.697650504)"
21795,HY198255,03/25/2015 06:24:00 PM,052XX W FULLERTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,true,false,2515,025,37,19,01A,1141240,1915461,2015,08/17/2015 03:03:40 PM,41.924102822,-87.756452662,"(41.924102822, -87.756452662)"
21796,HY199452,03/26/2015 05:59:00 PM,052XX W QUINCY ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,1522,015,29,25,01A,1141486,1898500,2015,08/17/2015 03:03:40 PM,41.877555323,-87.755968179,"(41.877555323, -87.755968179)"
21797,HY199846,03/27/2015 02:04:00 AM,084XX S STONY ISLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0412,004,8,45,01A,1188276,1849160,2015,08/17/2015 03:03:40 PM,41.741170915,-87.585745319,"(41.741170915, -87.585745319)"
21798,HY201146,03/28/2015 02:13:00 AM,022XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,TAVERN,false,false,0132,001,2,33,01A,1177561,1889490,2015,08/17/2015 03:03:40 PM,41.852089006,-87.623784345,"(41.852089006, -87.623784345)"
21799,HY202270,03/29/2015 02:27:00 AM,122XX S RACINE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0524,005,34,53,01A,1170547,1823630,2015,08/17/2015 03:03:40 PM,41.671516943,-87.651443612,"(41.671516943, -87.651443612)"
21800,HY203776,03/30/2015 02:50:00 PM,057XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0712,007,16,68,01A,1170622,1866859,2015,08/17/2015 03:03:40 PM,41.790141834,-87.649912869,"(41.790141834, -87.649912869)"
21801,HY204746,03/31/2015 10:55:00 AM,012XX W 56TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0713,007,16,67,01A,1168810,1867639,2015,08/17/2015 03:03:40 PM,41.792321579,-87.656534454,"(41.792321579, -87.656534454)"
21802,HY204877,03/31/2015 12:19:00 PM,028XX N MAPLEWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,1411,014,1,21,01A,1158869,1918728,2015,08/17/2015 03:03:40 PM,41.932723985,-87.691586431,"(41.932723985, -87.691586431)"
21803,HY206710,04/01/2015 07:05:00 PM,030XX W 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0831,008,18,66,01A,1157490,1857396,2015,08/17/2015 03:03:40 PM,41.764450345,-87.698320777,"(41.764450345, -87.698320777)"
21804,HY207131,04/02/2015 12:51:00 AM,068XX S JEFFERY BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0332,003,5,43,01A,1190721,1860087,2015,08/17/2015 03:03:40 PM,41.771096902,-87.576434913,"(41.771096902, -87.576434913)"
21805,HY207153,04/02/2015 02:26:00 AM,021XX W 71ST PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0735,007,17,67,01A,1163433,1857227,2015,08/17/2015 03:03:40 PM,41.763864124,-87.676542751,"(41.763864124, -87.676542751)"
21806,HY208263,04/02/2015 09:08:00 PM,001XX E 69TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0322,003,20,69,01A,1178585,1859304,2015,08/17/2015 03:03:40 PM,41.769232737,-87.620944418,"(41.769232737, -87.620944418)"
21817,HY201343,04/03/2015 07:00:00 AM,088XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0632,006,8,44,01A,1183114,1846319,2015,08/17/2015 03:03:40 PM,41.733496394,-87.604746446,"(41.733496394, -87.604746446)"
